150 150  50 250  50 150	 83 183
115 115  50  50 150  50	105  71
 50  50 115 115  50 150	 71 105
115 115 150  50 150 150	138 105
150  50 250  50 150 150	183  83
115 115 150 150  50 150	105 138
650  50 650 150 577 115	625 105
550 150 450  50 550  50	516  83
550 150 550  50 577 115	559 105
577 115 550  50 650  50	592  71
577 115 650 150 550 150	592 138
550 150 650 150 650 250	616 183
650 450 650 550 550 550	616 516
550 650 550 550 577 577	559 592
550 550 550 650 450 650	516 616
550 550 650 550 577 577	592 559
577 577 650 550 650 650	625 592
577 577 650 650 550 650	592 625
150 550 150 650 115 577	138 592
150 650 150 550 250 650	183 616
150 650  50 650 115 577	105 625
 50 550 150 550 115 577	105 559
150 550  50 550  50 450	 83 516
115 577  50 650  50 550	 71 592
150 250 150 350 100 300	133 300
150 350 100 400 115 346	121 365
100 400 150 350 150 450	133 400
 50 350 100 300 115 346	 88 332
 50 350 115 346 100 400	 88 365
115 346 100 300 150 350	121 332
400 100 350 150 346 115	365 121
350 150 400 100 450 150	400 133
350 150 300 100 346 115	332 121
300 100 350 150 250 150	300 133
300 100 350  50 346 115	332  88
346 115 350  50 400 100	365  88
600 300 650 350 577 346	609 332
550 350 550 250 600 300	566 300
550 350 600 300 577 346	575 332
577 346 650 350 600 400	609 365
577 346 600 400 550 350	575 365
550 350 600 400 550 450	566 400
350 650 300 600 346 577	332 609
350 550 450 550 400 600	400 566
350 550 400 600 346 577	365 575
346 577 400 600 350 650	365 609
346 577 300 600 350 550	332 575
350 550 300 600 250 550	300 566
