[150 100 150 150 115 115]	[138 121]
[150 150 150 100 250  50]	[183 100]
[100 100 150 100 115 115]	[121 105]
[150 100 100 100 150  50]	[133  83]
[115 115 150 150 100 150]	[121 138]
[150 150  50 250 100 150]	[100 183]
[100 100 100 150  50 150]	[ 83 133]
[100 150 100 100 115 115]	[105 121]
[150  50 100 100  50  50]	[100  66]
[ 50  50 100 100  50 150]	[ 66 100]
[150 100 150  50 250  50]	[183  66]
[100 150  50 250  50 150]	[ 66 183]
[550 100 550 150 450  50]	[516 100]
[550 150 550 100 577 115]	[559 121]
[550 100 550  50 600 100]	[566  83]
[550  50 550 100 450  50]	[516  66]
[600 100 650 150 600 150]	[616 133]
[650 150 600 100 650  50]	[633 100]
[550 150 577 115 600 150]	[575 138]
[550 100 600 100 577 115]	[575 105]
[600 100 600 150 577 115]	[592 121]
[600 100 550  50 650  50]	[600  66]
[600 150 650 150 650 250]	[633 183]
[600 150 650 250 550 150]	[600 183]
[600 550 650 550 600 600]	[616 566]
[650 550 600 550 650 450]	[633 516]
[550 600 600 600 550 650]	[566 616]
[600 600 550 600 577 577]	[575 592]
[600 550 550 550 650 450]	[600 516]
[550 550 600 550 577 577]	[575 559]
[650 550 650 650 600 600]	[633 600]
[550 650 600 600 650 650]	[600 633]
[600 550 600 600 577 577]	[592 575]
[550 550 577 577 550 600]	[559 575]
[550 650 450 650 550 600]	[516 633]
[550 600 450 650 550 550]	[516 600]
[100 550 150 550 115 577]	[121 559]
[150 550 100 550  50 450]	[100 516]
[100 600  50 550 100 550]	[ 83 566]
[ 50 550 100 600  50 650]	[ 66 600]
[150 550 250 650 150 600]	[183 600]
[150 600 150 650 100 600]	[133 616]
[150 650 150 600 250 650]	[183 633]
[115 577 150 550 150 600]	[138 575]
[100 600 100 550 115 577]	[105 575]
[150 600 100 600 115 577]	[121 592]
[150 650  50 650 100 600]	[100 633]
[ 50 450 100 550  50 550]	[ 66 516]
[100 350 125 375 100 400]	[108 375]
[125 375 100 350 115 346]	[113 357]
[100 350 100 400  50 350]	[ 83 366]
[100 350 100 300 125 325]	[108 325]
[100 300 100 350  50 350]	[ 83 333]
[125 325 150 350 115 346]	[130 340]
[150 350 125 325 150 250]	[141 308]
[100 350 125 325 115 346]	[113 340]
[150 250 125 325 100 300]	[125 291]
[115 346 150 350 125 375]	[130 357]
[125 375 150 450 100 400]	[125 408]
[150 450 125 375 150 350]	[141 391]
[350 100 400 100 375 125]	[375 108]
[400 100 350 100 350  50]	[366  83]
[346 115 350 150 325 125]	[340 130]
[350 150 346 115 375 125]	[357 130]
[350 100 300 100 350  50]	[333  83]
[300 100 350 100 325 125]	[325 108]
[400 100 450 150 375 125]	[408 125]
[350 150 375 125 450 150]	[391 141]
[350 100 375 125 346 115]	[357 113]
[325 125 350 100 346 115]	[340 113]
[350 150 250 150 325 125]	[308 141]
[325 125 250 150 300 100]	[291 125]
[575 325 600 300 600 350]	[591 325]
[600 300 575 325 550 250]	[575 291]
[575 325 550 350 550 250]	[558 308]
[550 350 575 325 577 346]	[567 340]
[600 300 650 350 600 350]	[616 333]
[575 325 600 350 577 346]	[584 340]
[600 350 575 375 577 346]	[584 357]
[575 375 600 350 600 400]	[591 375]
[575 375 550 450 550 350]	[558 391]
[550 450 575 375 600 400]	[575 408]
[550 350 577 346 575 375]	[567 357]
[600 350 650 350 600 400]	[616 366]
[375 575 450 550 400 600]	[408 575]
[450 550 375 575 350 550]	[391 558]
[375 575 400 600 350 600]	[375 591]
[350 550 375 575 346 577]	[357 567]
[375 575 350 600 346 577]	[357 584]
[350 600 300 600 325 575]	[325 591]
[300 600 350 600 350 650]	[333 616]
[350 550 346 577 325 575]	[340 567]
[350 600 325 575 346 577]	[340 584]
[350 600 400 600 350 650]	[366 616]
[325 575 300 600 250 550]	[291 575]
[325 575 250 550 350 550]	[308 558]
