 67 121 150 150  50 150	 89 140
150 150  67 121  99  76	105 115
 50 150  50  50  52 141	 50 113
150 150  99  76 150  50	133  92
 52 141  50  50  67 121	 56 104
150 150 150  50 250  50	183  83
 52 141  67 121  50 150	 56 137
 99  76  67 121  50  50	72 82
 99  76  50  50 150  50	99 58
 50 150 150 150  50 250	 83 183
650  50 650 150 637 105	645 101
550 150 542  74 637 105	576 109
542  74 550 150 450  50	514  91
637 105 550  50 650  50	612  68
550  50 637 105 542  74	576  76
650 150 650 250 610 204	636 201
650 250 550 150 610 204	603 201
650 150 550 150 637 105	612 135
550 150 650 150 610 204	603 168
542  74 450  50 550  50	514  58
620 556 650 650 582 577	617 594
650 650 620 556 650 550	640 585
582 577 650 650 550 650	594 625
582 577 550 550 620 556	584 561
550 550 582 577 550 650	560 592
650 450 650 550 620 556	640 518
620 556 550 550 650 450	606 518
450 650 550 550 461 640	487 613
550 550 550 650 461 640	520 613
550 650 450 650 461 640	487 646
123 531 150 550 142 548	138 543
150 550 123 531  50 450	107 510
143 585  50 550 123 531	105 555
 50 550 143 585  50 650	 81 595
143 585 123 531 142 548	136 554
150 550 250 650 143 585	181 595
 50 650 143 585 150 650	114 628
143 585 142 548 150 550	145 561
 50 450 123 531  50 550	 74 510
143 585 250 650 150 650	181 628
 73 364 150 350  76 372	 99 362
150 350  73 364 100 300	107 338
123 416 100 400 150 350	124 388
100 400 123 416 150 450	124 422
 76 372  50 350  73 364	 66 362
 50 350  76 372 100 400	 75 374
150 350 150 450 123 416	141 405
150 350 100 400  76 372	108 374
100 300  73 364  50 350	 74 338
150 350 100 300 150 250	133 300
346 116 385  87 400 100	377 101
385  87 346 116 350  50	360  84
350 150 250 150 300 100	300 133
300 100 350  50 319  96	323  82
346 116 400 100 350 150	365 122
346 116 300 100 319  96	321 104
300 100 346 116 350 150	332 122
346 116 319  96 350  50	338  87
350  50 400 100 385  87	378  79
350 150 400 100 450 150	400 133
600 300 650 350 625 333	625 327
600 300 625 333 606 311	610 314
606 311 625 333 550 350	593 331
600 300 550 350 550 250	566 300
550 350 600 300 606 311	585 320
625 333 585 390 550 350	586 357
585 390 625 333 600 400	603 374
600 400 550 450 585 390	578 413
625 333 650 350 600 400	625 361
585 390 550 450 550 350	561 396
350 550 366 596 303 595	339 580
366 596 350 550 400 600	372 582
350 650 300 600 303 595	317 615
350 550 450 550 431 559	410 553
431 559 400 600 350 550	393 569
400 600 431 559 450 550	427 569
350 550 303 595 250 550	301 565
366 596 350 650 303 595	339 613
350 650 366 596 400 600	372 615
303 595 300 600 250 550	284 581
